原词,关系类型,目标词
bee,同音词,be
see,同音词,sea
no,同音词,know
hi,同音词,high
for,同音词,four
son,同音词,sun
our,同音词,hour
pair,同音词,pear
here,同音词,hear
to,同音词,two
to,同音词,too
two,同音词,too
there,同音词,their
by,同音词,bye
by,同音词,buy
bye,同音词,buy
right,同音词,write
red,同音词,read
meat,同音词,meet
wear,同音词,where
dear,同音词,deer
weight,同音词,wait
it's,同音词,its
new,同音词,knew
father,同音词,farther
blue,同音词,blew
father,近义词,dad
mother,近义词,mum
mother,近义词,mom
mum,近义词,mom
listen,近义词,hear
glad,近义词,happy
gift,近义词,present
like,近义词,love
little,近义词,small
photo,近义词,picture
start,近义词,begin
plane,近义词,airplane
learn,近义词,study
beautiful,近义词,pretty
usually,近义词,often
near,近义词,beside
near,近义词,near to
beside,近义词,near to
hi,近义词,hello
speak,近义词,say
of course,近义词,sure
be from,近义词,come from
take a bus,近义词,by bus
would like,近义词,want
toilet,近义词,WC
class,近义词,lesson
everyone,近义词,everybody
glass,近义词,cup
large,近义词,big
purse,近义词,wallet
home,近义词,house
look,近义词,see
cycle,近义词,bike
quick,近义词,fast
garden,近义词,park
desk,近义词,table
speak,近义词,talk
say,近义词,talk
river,近义词,lake
go home,近义词,come home
a moment ago,近义词,just now
a lot of,近义词,lots of
a lot of,近义词,many
lots of,近义词,many
be good at,近义词,do well in
take a walk,近义词,go for a walk
look for,近义词,find
big,反义词,small
bad,反义词,good
black,反义词,white
cold,反义词,hot
cool,反义词,warm
come,反义词,go
different,反义词,same
difficult,反义词,easy
day,反义词,night
early,反义词,late
happy,反义词,sad
in,反义词,out
left,反义词,right
quiet,反义词,active
new,反义词,old
open,反义词,close
stand,反义词,sit
short,反义词,tall
short,反义词,long
thin,反义词,fat
up,反义词,down
wrong,反义词,right
young,反义词,old
behind,反义词,in front of
stop,反义词,start
stop,反义词,begin
cheap,反义词,expensive
cheap,反义词,dear
always,反义词,never
west,反义词,east
north,反义词,south
here,反义词,there
after,反义词,before
fat,反义词,thin
late,反义词,early
